Timestamp,Temperature, TemperatureDelta, MappedTemperature
0,32,0,51.00105
0.01999999,31.98466,-0.01533987,-0.003232956
0.03999998,31.96936,-0.01529712,0.007221222
0.05999998,31.95411,-0.01525449,0.01762962
0.07999997,31.9389,-0.01521197,0.02799606
0.09999996,31.92373,-0.01516957,0.03831863
0.12,31.9086,-0.0151273,0.04859924
0.14,31.89351,-0.01508514,0.05883598
0.1599999,31.87847,-0.01504309,0.06903076
0.1799999,31.86347,-0.01500117,0.07918358
0.1999999,31.84851,-0.01495936,0.08929443
0.2199999,31.83359,-0.01491766,0.09936333
0.2399999,31.81872,-0.01487609,0.1093903
0.2599999,31.80388,-0.01483463,0.1193771
0.2799999,31.78909,-0.01479328,0.1293201
0.2999999,31.77434,-0.01475205,0.139225
0.3199999,31.75963,-0.01471094,0.1490879
0.3399999,31.74496,-0.01466994,0.1589108
0.3599999,31.73033,-0.01462905,0.1686916
0.3799999,31.71574,-0.01458828,0.1784344
0.3999999,31.70119,-0.01454762,0.1881371
0.4199998,31.68669,-0.01450708,0.1977978
0.4399998,31.67222,-0.01446664,0.2074223
0.4599998,31.65779,-0.01442632,0.2170048
0.4799998,31.64341,-0.01438612,0.2265491
0.4999998,31.62906,-0.01434602,0.2360554
0.5199998,31.61476,-0.01430604,0.2455235
0.5399998,31.60049,-0.01426617,0.2549515
0.5599998,31.58626,-0.01422641,0.2643414
0.5799998,31.57207,-0.01418676,0.2736931
0.5999998,31.55793,-0.01414722,0.2830086
0.6199998,31.54382,-0.01410779,0.292284
0.6399997,31.52975,-0.01406847,0.3015251
0.6599998,31.51572,-0.01402926,0.3107262
0.6799998,31.50173,-0.01399016,0.319891
0.6999997,31.48778,-0.01395117,0.3290195
0.7199997,31.47387,-0.01391228,0.33811
0.7399997,31.46,-0.01387351,0.3471642
0.7599998,31.44616,-0.01383484,0.3561821
0.7799997,31.43237,-0.01379628,0.3651657
0.7999997,31.41861,-0.01375783,0.3741112
0.8199997,31.40489,-0.01371949,0.3830204
0.8399997,31.39121,-0.01368125,0.3918953
0.8599997,31.37756,-0.01364312,0.4007359
0.8799997,31.36396,-0.0136051,0.4095383
0.8999997,31.35039,-0.01356718,0.4183083
0.9199997,31.33686,-0.01352937,0.427042
0.9399996,31.32337,-0.01349166,0.4357414
0.9599997,31.30992,-0.01345406,0.4444046
0.9799997,31.2965,-0.01341656,0.4530354
0.9999996,31.28312,-0.01337917,0.4616318
1.02,31.26978,-0.01334188,0.470192
1.04,31.25647,-0.0133047,0.4787197
1.06,31.24321,-0.01326761,0.487215
1.08,31.22997,-0.01323063,0.495676
1.1,31.21678,-0.01319376,0.5041027
1.12,31.20362,-0.01315699,0.5124969
1.14,31.1905,-0.01312032,0.5208569
1.16,31.17742,-0.01308375,0.5291843
1.18,31.16437,-0.01304729,0.5374813
1.2,31.15136,-0.01301092,0.5457439
1.22,31.13839,-0.01297466,0.5539742
1.24,31.12545,-0.0129385,0.5621719
1.26,31.11255,-0.01290244,0.5703373
1.279999,31.09968,-0.01286648,0.5784702
1.3,31.08685,-0.01283062,0.5865726
1.32,31.07405,-0.01279486,0.5946445
1.34,31.06129,-0.0127592,0.6026821
1.36,31.04857,-0.01272364,0.6106911
1.38,31.03588,-0.01268818,0.6186657
1.399999,31.02323,-0.01265282,0.6266117
1.419999,31.01061,-0.01261755,0.6345272
1.439999,30.99803,-0.01258239,0.6424103
1.459999,30.98548,-0.01254732,0.6502628
1.479999,30.97297,-0.01251235,0.6580868
1.5,30.96049,-0.01247748,0.6658783
1.52,30.94805,-0.0124427,0.6736412
1.539999,30.93564,-0.01240802,0.6813736
1.559999,30.92327,-0.01237344,0.6890755
1.579999,30.91093,-0.01233895,0.6967487
1.599999,30.89863,-0.01230456,0.7043915
1.619999,30.88636,-0.01227027,0.7120056
1.639999,30.87412,-0.01223607,0.7195892
1.659999,30.86192,-0.01220197,0.7271461
1.679999,30.84975,-0.01216796,0.7346725
1.699999,30.83762,-0.01213405,0.7421684
1.719999,30.82552,-0.01210023,0.7496376
1.739999,30.81345,-0.01206651,0.7570782
1.759999,30.80142,-0.01203288,0.7644901
